"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10460","Alamogordo, NM","6","6",".",".",".",".",".","20","20","11.5",".",".",".",".","6"
"10740","Albuquerque, NM","365","151","199","14","1",".",".","154","84","54","47","35","225",".","58"
"16100","Carlsbad-Artesia, NM","327","327",".",".",".",".",".","37","25","14",".","327",".",".","."
"19700","Deming, NM","60","59","1",".",".",".",".","92","30.5","16.5",".",".",".",".","60"
"22140","Farmington, NM","365","365",".",".",".",".",".","32","22","10","311",".",".",".","54"
"23700","Gallup, NM","60","60",".",".",".",".",".","33","29","16",".",".",".",".","60"
"24380","Grants, NM","53","53",".",".",".",".",".","34","26","15",".",".",".",".","53"
"26020","Hobbs, NM","61","60","1",".",".",".",".","51","23","14",".",".",".",".","61"
"29740","Las Cruces, NM","365","123","214","24","4",".",".","178","97","57","3",".","180",".","182"
"31060","Los Alamos, NM","90","90",".",".",".",".",".","47","28.5","15",".",".",".","90","."
"40740","Roswell, NM","57","55","2",".",".",".",".","56","31","17",".",".",".",".","57"
"42140","Santa Fe, NM","365","365",".",".",".",".",".","33","19","11","240",".",".",".","125"
"43500","Silver City, NM","88","86","2",".",".",".",".","86","31","19",".",".",".",".","88"
"45340","Taos, NM","319","313","6",".",".",".",".","67","27","11",".",".",".",".","319"
