"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","365","155","184","24","2",".",".","169","93","56","71","21","247",".","26"
"16100","Carlsbad-Artesia, NM","360","359","1",".",".",".",".","52","30","19",".","360",".",".","."
"19700","Deming, NM","53","53",".",".",".",".",".","40","33","22",".",".",".",".","53"
"22140","Farmington, NM","365","357","8",".",".",".",".","61","41","23","135","210",".",".","20"
"23700","Gallup, NM","47","46","1",".",".",".",".","51","38","22",".",".",".",".","47"
"26020","Hobbs, NM","59","59",".",".",".",".",".","31","26","15",".",".",".",".","59"
"29740","Las Cruces, NM","365","225","131","9",".",".",".","140","74","47","29",".","229",".","107"
"31060","Los Alamos, NM","346","268","77","1",".",".",".","112","71","44",".",".","338","7","1"
"40740","Roswell, NM","50","50",".",".",".",".",".","36","28.5","15.5",".",".",".",".","50"
"42140","Santa Fe, NM","365","365",".",".",".",".",".","50","27","15","244",".",".",".","121"
"43500","Silver City, NM","78","76","2",".",".",".",".","58","41","25",".",".",".",".","78"
"45340","Taos, NM","171","164","7",".",".",".",".","58","37","19",".",".",".",".","171"
